TID	SDate	TName	SStationID	AStationID	STime	ATime
30	2019/12/31	C5001               	1599	1621	2019/12/31 7:09	2019/12/31 8:46
31	2020/1/1	C5001               	1599	1621	2020/1/1 7:09	2020/1/1 8:46
32	2020/1/2	C5001               	1599	1621	2020/1/2 7:09	2020/1/2 8:46
33	2020/1/3	C5001               	1599	1621	2020/1/3 7:09	2020/1/3 8:46
34	2020/1/4	C5001               	1599	1621	2020/1/4 7:09	2020/1/4 8:46
35	2020/1/5	C5001               	1599	1621	2020/1/5 7:09	2020/1/5 8:46
36	2020/1/6	C5001               	1599	1621	2020/1/6 7:09	2020/1/6 8:46
37	2020/1/7	C5001               	1599	1621	2020/1/7 7:09	2020/1/7 8:46
38	2020/1/8	C5001               	1599	1621	2020/1/8 7:09	2020/1/8 8:46
39	2020/1/9	C5001               	1599	1621	2020/1/9 7:09	2020/1/9 8:46
40	2020/1/10	C5001               	1599	1621	2020/1/10 7:09	2020/1/10 8:46
41	2020/1/11	C5001               	1599	1621	2020/1/11 7:09	2020/1/11 8:46
42	2020/1/12	C5001               	1599	1621	2020/1/12 7:09	2020/1/12 8:46
43	2020/1/13	C5001               	1599	1621	2020/1/13 7:09	2020/1/13 8:46
44	2020/1/14	C5001               	1599	1621	2020/1/14 7:09	2020/1/14 8:46
45	2020/1/15	C5001               	1599	1621	2020/1/15 7:09	2020/1/15 8:46
46	2020/1/16	C5001               	1599	1621	2020/1/16 7:09	2020/1/16 8:46
47	2020/1/17	C5001               	1599	1621	2020/1/17 7:09	2020/1/17 8:46
48	2020/1/18	C5001               	1599	1621	2020/1/18 7:09	2020/1/18 8:46
49	2020/1/19	C5001               	1599	1621	2020/1/19 7:09	2020/1/19 8:46
50	2020/1/20	C5001               	1599	1621	2020/1/20 7:09	2020/1/20 8:46
51	2020/1/21	C5001               	1599	1621	2020/1/21 7:09	2020/1/21 8:46
52	2020/1/22	C5001               	1599	1621	2020/1/22 7:09	2020/1/22 8:46
53	2020/1/23	C5001               	1599	1621	2020/1/23 7:09	2020/1/23 8:46
54	2020/1/24	C5001               	1599	1621	2020/1/24 7:09	2020/1/24 8:46
55	2020/1/25	C5001               	1599	1621	2020/1/25 7:09	2020/1/25 8:46
56	2020/1/26	C5001               	1599	1621	2020/1/26 7:09	2020/1/26 8:46
57	2020/1/27	C5001               	1599	1621	2020/1/27 7:09	2020/1/27 8:46
58	2020/1/28	C5001               	1599	1621	2020/1/28 7:09	2020/1/28 8:46
59	2020/1/29	C5001               	1599	1621	2020/1/29 7:09	2020/1/29 8:46
60	2020/1/30	C5001               	1599	1621	2020/1/30 7:09	2020/1/30 8:46
61	2020/1/31	C5001               	1599	1621	2020/1/31 7:09	2020/1/31 8:46
62	2020/2/1	C5001               	1599	1621	2020/2/1 7:09	2020/2/1 8:46
63	2020/2/2	C5001               	1599	1621	2020/2/2 7:09	2020/2/2 8:46
64	2020/2/3	C5001               	1599	1621	2020/2/3 7:09	2020/2/3 8:46
65	2020/2/4	C5001               	1599	1621	2020/2/4 7:09	2020/2/4 8:46
66	2020/2/5	C5001               	1599	1621	2020/2/5 7:09	2020/2/5 8:46
67	2020/2/6	C5001               	1599	1621	2020/2/6 7:09	2020/2/6 8:46
68	2020/2/7	C5001               	1599	1621	2020/2/7 7:09	2020/2/7 8:46
69	2020/2/8	C5001               	1599	1621	2020/2/8 7:09	2020/2/8 8:46
70	2020/2/9	C5001               	1599	1621	2020/2/9 7:09	2020/2/9 8:46
71	2020/2/10	C5001               	1599	1621	2020/2/10 7:09	2020/2/10 8:46
72	2020/2/11	C5001               	1599	1621	2020/2/11 7:09	2020/2/11 8:46
73	2020/2/12	C5001               	1599	1621	2020/2/12 7:09	2020/2/12 8:46
74	2020/2/13	C5001               	1599	1621	2020/2/13 7:09	2020/2/13 8:46
75	2020/2/14	C5001               	1599	1621	2020/2/14 7:09	2020/2/14 8:46
76	2020/2/15	C5001               	1599	1621	2020/2/15 7:09	2020/2/15 8:46
77	2020/2/16	C5001               	1599	1621	2020/2/16 7:09	2020/2/16 8:46
78	2020/2/17	C5001               	1599	1621	2020/2/17 7:09	2020/2/17 8:46
79	2020/2/18	C5001               	1599	1621	2020/2/18 7:09	2020/2/18 8:46
80	2020/2/19	C5001               	1599	1621	2020/2/19 7:09	2020/2/19 8:46
81	2020/2/20	C5001               	1599	1621	2020/2/20 7:09	2020/2/20 8:46
82	2020/2/21	C5001               	1599	1621	2020/2/21 7:09	2020/2/21 8:46
83	2020/2/22	C5001               	1599	1621	2020/2/22 7:09	2020/2/22 8:46
84	2020/2/23	C5001               	1599	1621	2020/2/23 7:09	2020/2/23 8:46
85	2020/2/24	C5001               	1599	1621	2020/2/24 7:09	2020/2/24 8:46
86	2020/2/25	C5001               	1599	1621	2020/2/25 7:09	2020/2/25 8:46
87	2020/2/26	C5001               	1599	1621	2020/2/26 7:09	2020/2/26 8:46
88	2020/2/27	C5001               	1599	1621	2020/2/27 7:09	2020/2/27 8:46
89	2020/2/28	C5001               	1599	1621	2020/2/28 7:09	2020/2/28 8:46
90	2020/2/29	C5001               	1599	1621	2020/2/29 7:09	2020/2/29 8:46
91	2020/3/1	C5001               	1599	1621	2020/3/1 7:09	2020/3/1 8:46
92	2019/12/2	C5003               	1599	1621	2019/12/2 10:11	2019/12/2 11:11
93	2019/12/3	C5003               	1599	1621	2019/12/3 10:11	2019/12/3 11:11
94	2019/12/4	C5003               	1599	1621	2019/12/4 10:11	2019/12/4 11:11
95	2019/12/5	C5003               	1599	1621	2019/12/5 10:11	2019/12/5 11:11
96	2019/12/6	C5003               	1599	1621	2019/12/6 10:11	2019/12/6 11:11
97	2019/12/7	C5003               	1599	1621	2019/12/7 10:11	2019/12/7 11:11
98	2019/12/8	C5003               	1599	1621	2019/12/8 10:11	2019/12/8 11:11
99	2019/12/9	C5003               	1599	1621	2019/12/9 10:11	2019/12/9 11:11
100	2019/12/10	C5003               	1599	1621	2019/12/10 10:11	2019/12/10 11:11
101	2019/12/11	C5003               	1599	1621	2019/12/11 10:11	2019/12/11 11:11
102	2019/12/12	C5003               	1599	1621	2019/12/12 10:11	2019/12/12 11:11
103	2019/12/13	C5003               	1599	1621	2019/12/13 10:11	2019/12/13 11:11
104	2019/12/14	C5003               	1599	1621	2019/12/14 10:11	2019/12/14 11:11
105	2019/12/15	C5003               	1599	1621	2019/12/15 10:11	2019/12/15 11:11
106	2019/12/16	C5003               	1599	1621	2019/12/16 10:11	2019/12/16 11:11
107	2019/12/17	C5003               	1599	1621	2019/12/17 10:11	2019/12/17 11:11
108	2019/12/18	C5003               	1599	1621	2019/12/18 10:11	2019/12/18 11:11
109	2019/12/19	C5003               	1599	1621	2019/12/19 10:11	2019/12/19 11:11
110	2019/12/20	C5003               	1599	1621	2019/12/20 10:11	2019/12/20 11:11
111	2019/12/21	C5003               	1599	1621	2019/12/21 10:11	2019/12/21 11:11
112	2019/12/22	C5003               	1599	1621	2019/12/22 10:11	2019/12/22 11:11
113	2019/12/23	C5003               	1599	1621	2019/12/23 10:11	2019/12/23 11:11
114	2019/12/24	C5003               	1599	1621	2019/12/24 10:11	2019/12/24 11:11
115	2019/12/25	C5003               	1599	1621	2019/12/25 10:11	2019/12/25 11:11
116	2019/12/26	C5003               	1599	1621	2019/12/26 10:11	2019/12/26 11:11
117	2019/12/27	C5003               	1599	1621	2019/12/27 10:11	2019/12/27 11:11
118	2019/12/28	C5003               	1599	1621	2019/12/28 10:11	2019/12/28 11:11
119	2019/12/29	C5003               	1599	1621	2019/12/29 10:11	2019/12/29 11:11
120	2019/12/30	C5003               	1599	1621	2019/12/30 10:11	2019/12/30 11:11
121	2019/12/31	C5003               	1599	1621	2019/12/31 10:11	2019/12/31 11:11
122	2020/1/1	C5003               	1599	1621	2020/1/1 10:11	2020/1/1 11:11
123	2020/1/2	C5003               	1599	1621	2020/1/2 10:11	2020/1/2 11:11
124	2020/1/3	C5003               	1599	1621	2020/1/3 10:11	2020/1/3 11:11
125	2020/1/4	C5003               	1599	1621	2020/1/4 10:11	2020/1/4 11:11
126	2020/1/5	C5003               	1599	1621	2020/1/5 10:11	2020/1/5 11:11
127	2020/1/6	C5003               	1599	1621	2020/1/6 10:11	2020/1/6 11:11
128	2020/1/7	C5003               	1599	1621	2020/1/7 10:11	2020/1/7 11:11
129	2020/1/8	C5003               	1599	1621	2020/1/8 10:11	2020/1/8 11:11
130	2020/1/9	C5003               	1599	1621	2020/1/9 10:11	2020/1/9 11:11
131	2020/1/10	C5003               	1599	1621	2020/1/10 10:11	2020/1/10 11:11
132	2020/1/11	C5003               	1599	1621	2020/1/11 10:11	2020/1/11 11:11
133	2020/1/12	C5003               	1599	1621	2020/1/12 10:11	2020/1/12 11:11
134	2020/1/13	C5003               	1599	1621	2020/1/13 10:11	2020/1/13 11:11
135	2020/1/14	C5003               	1599	1621	2020/1/14 10:11	2020/1/14 11:11
136	2020/1/15	C5003               	1599	1621	2020/1/15 10:11	2020/1/15 11:11
137	2020/1/16	C5003               	1599	1621	2020/1/16 10:11	2020/1/16 11:11
138	2020/1/17	C5003               	1599	1621	2020/1/17 10:11	2020/1/17 11:11
139	2020/1/18	C5003               	1599	1621	2020/1/18 10:11	2020/1/18 11:11
140	2020/1/19	C5003               	1599	1621	2020/1/19 10:11	2020/1/19 11:11
141	2020/1/20	C5003               	1599	1621	2020/1/20 10:11	2020/1/20 11:11
142	2020/1/21	C5003               	1599	1621	2020/1/21 10:11	2020/1/21 11:11
143	2020/1/22	C5003               	1599	1621	2020/1/22 10:11	2020/1/22 11:11
144	2020/1/23	C5003               	1599	1621	2020/1/23 10:11	2020/1/23 11:11
145	2020/1/24	C5003               	1599	1621	2020/1/24 10:11	2020/1/24 11:11
146	2020/1/25	C5003               	1599	1621	2020/1/25 10:11	2020/1/25 11:11
147	2020/1/26	C5003               	1599	1621	2020/1/26 10:11	2020/1/26 11:11
148	2020/1/27	C5003               	1599	1621	2020/1/27 10:11	2020/1/27 11:11
149	2020/1/28	C5003               	1599	1621	2020/1/28 10:11	2020/1/28 11:11
150	2020/1/29	C5003               	1599	1621	2020/1/29 10:11	2020/1/29 11:11
151	2020/1/30	C5003               	1599	1621	2020/1/30 10:11	2020/1/30 11:11
152	2020/1/31	C5003               	1599	1621	2020/1/31 10:11	2020/1/31 11:11
153	2020/2/1	C5003               	1599	1621	2020/2/1 10:11	2020/2/1 11:11
154	2020/2/2	C5003               	1599	1621	2020/2/2 10:11	2020/2/2 11:11
155	2020/2/3	C5003               	1599	1621	2020/2/3 10:11	2020/2/3 11:11
156	2020/2/4	C5003               	1599	1621	2020/2/4 10:11	2020/2/4 11:11
157	2020/2/5	C5003               	1599	1621	2020/2/5 10:11	2020/2/5 11:11
158	2020/2/6	C5003               	1599	1621	2020/2/6 10:11	2020/2/6 11:11
159	2020/2/7	C5003               	1599	1621	2020/2/7 10:11	2020/2/7 11:11
160	2020/2/8	C5003               	1599	1621	2020/2/8 10:11	2020/2/8 11:11
161	2020/2/9	C5003               	1599	1621	2020/2/9 10:11	2020/2/9 11:11
162	2020/2/10	C5003               	1599	1621	2020/2/10 10:11	2020/2/10 11:11
163	2020/2/11	C5003               	1599	1621	2020/2/11 10:11	2020/2/11 11:11
164	2020/2/12	C5003               	1599	1621	2020/2/12 10:11	2020/2/12 11:11
165	2020/2/13	C5003               	1599	1621	2020/2/13 10:11	2020/2/13 11:11
166	2020/2/14	C5003               	1599	1621	2020/2/14 10:11	2020/2/14 11:11
167	2020/2/15	C5003               	1599	1621	2020/2/15 10:11	2020/2/15 11:11
168	2020/2/16	C5003               	1599	1621	2020/2/16 10:11	2020/2/16 11:11
169	2020/2/17	C5003               	1599	1621	2020/2/17 10:11	2020/2/17 11:11
170	2020/2/18	C5003               	1599	1621	2020/2/18 10:11	2020/2/18 11:11
171	2020/2/19	C5003               	1599	1621	2020/2/19 10:11	2020/2/19 11:11
172	2020/2/20	C5003               	1599	1621	2020/2/20 10:11	2020/2/20 11:11
173	2020/2/21	C5003               	1599	1621	2020/2/21 10:11	2020/2/21 11:11
174	2020/2/22	C5003               	1599	1621	2020/2/22 10:11	2020/2/22 11:11
175	2020/2/23	C5003               	1599	1621	2020/2/23 10:11	2020/2/23 11:11
176	2020/2/24	C5003               	1599	1621	2020/2/24 10:11	2020/2/24 11:11
177	2020/2/25	C5003               	1599	1621	2020/2/25 10:11	2020/2/25 11:11
178	2020/2/26	C5003               	1599	1621	2020/2/26 10:11	2020/2/26 11:11
179	2020/2/27	C5003               	1599	1621	2020/2/27 10:11	2020/2/27 11:11
180	2020/2/28	C5003               	1599	1621	2020/2/28 10:11	2020/2/28 11:11
181	2020/2/29	C5003               	1599	1621	2020/2/29 10:11	2020/2/29 11:11
182	2020/3/1	C5003               	1599	1621	2020/3/1 10:11	2020/3/1 11:11
183	2019/12/2	C5005               	1599	1621	2019/12/2 12:37	2019/12/2 14:05
184	2019/12/3	C5005               	1599	1621	2019/12/3 12:37	2019/12/3 14:05
185	2019/12/4	C5005               	1599	1621	2019/12/4 12:37	2019/12/4 14:05
186	2019/12/5	C5005               	1599	1621	2019/12/5 12:37	2019/12/5 14:05
187	2019/12/6	C5005               	1599	1621	2019/12/6 12:37	2019/12/6 14:05
188	2019/12/7	C5005               	1599	1621	2019/12/7 12:37	2019/12/7 14:05
189	2019/12/8	C5005               	1599	1621	2019/12/8 12:37	2019/12/8 14:05
190	2019/12/9	C5005               	1599	1621	2019/12/9 12:37	2019/12/9 14:05
191	2019/12/10	C5005               	1599	1621	2019/12/10 12:37	2019/12/10 14:05
192	2019/12/11	C5005               	1599	1621	2019/12/11 12:37	2019/12/11 14:05
193	2019/12/12	C5005               	1599	1621	2019/12/12 12:37	2019/12/12 14:05
194	2019/12/13	C5005               	1599	1621	2019/12/13 12:37	2019/12/13 14:05
195	2019/12/14	C5005               	1599	1621	2019/12/14 12:37	2019/12/14 14:05
196	2019/12/15	C5005               	1599	1621	2019/12/15 12:37	2019/12/15 14:05
197	2019/12/16	C5005               	1599	1621	2019/12/16 12:37	2019/12/16 14:05
198	2019/12/17	C5005               	1599	1621	2019/12/17 12:37	2019/12/17 14:05
199	2019/12/18	C5005               	1599	1621	2019/12/18 12:37	2019/12/18 14:05
200	2019/12/19	C5005               	1599	1621	2019/12/19 12:37	2019/12/19 14:05
201	2019/12/20	C5005               	1599	1621	2019/12/20 12:37	2019/12/20 14:05
202	2019/12/21	C5005               	1599	1621	2019/12/21 12:37	2019/12/21 14:05
203	2019/12/22	C5005               	1599	1621	2019/12/22 12:37	2019/12/22 14:05
204	2019/12/23	C5005               	1599	1621	2019/12/23 12:37	2019/12/23 14:05
205	2019/12/24	C5005               	1599	1621	2019/12/24 12:37	2019/12/24 14:05
206	2019/12/25	C5005               	1599	1621	2019/12/25 12:37	2019/12/25 14:05
207	2019/12/26	C5005               	1599	1621	2019/12/26 12:37	2019/12/26 14:05
208	2019/12/27	C5005               	1599	1621	2019/12/27 12:37	2019/12/27 14:05
209	2019/12/28	C5005               	1599	1621	2019/12/28 12:37	2019/12/28 14:05
210	2019/12/29	C5005               	1599	1621	2019/12/29 12:37	2019/12/29 14:05
211	2019/12/30	C5005               	1599	1621	2019/12/30 12:37	2019/12/30 14:05
212	2019/12/31	C5005               	1599	1621	2019/12/31 12:37	2019/12/31 14:05
213	2020/1/1	C5005               	1599	1621	2020/1/1 12:37	2020/1/1 14:05
214	2020/1/2	C5005               	1599	1621	2020/1/2 12:37	2020/1/2 14:05
215	2020/1/3	C5005               	1599	1621	2020/1/3 12:37	2020/1/3 14:05
216	2020/1/4	C5005               	1599	1621	2020/1/4 12:37	2020/1/4 14:05
217	2020/1/5	C5005               	1599	1621	2020/1/5 12:37	2020/1/5 14:05
218	2020/1/6	C5005               	1599	1621	2020/1/6 12:37	2020/1/6 14:05
219	2020/1/7	C5005               	1599	1621	2020/1/7 12:37	2020/1/7 14:05
220	2020/1/8	C5005               	1599	1621	2020/1/8 12:37	2020/1/8 14:05
221	2020/1/9	C5005               	1599	1621	2020/1/9 12:37	2020/1/9 14:05
222	2020/1/10	C5005               	1599	1621	2020/1/10 12:37	2020/1/10 14:05
223	2020/1/11	C5005               	1599	1621	2020/1/11 12:37	2020/1/11 14:05
224	2020/1/12	C5005               	1599	1621	2020/1/12 12:37	2020/1/12 14:05
225	2020/1/13	C5005               	1599	1621	2020/1/13 12:37	2020/1/13 14:05
226	2020/1/14	C5005               	1599	1621	2020/1/14 12:37	2020/1/14 14:05
227	2020/1/15	C5005               	1599	1621	2020/1/15 12:37	2020/1/15 14:05
228	2020/1/16	C5005               	1599	1621	2020/1/16 12:37	2020/1/16 14:05
229	2020/1/17	C5005               	1599	1621	2020/1/17 12:37	2020/1/17 14:05
230	2020/1/18	C5005               	1599	1621	2020/1/18 12:37	2020/1/18 14:05
231	2020/1/19	C5005               	1599	1621	2020/1/19 12:37	2020/1/19 14:05
232	2020/1/20	C5005               	1599	1621	2020/1/20 12:37	2020/1/20 14:05
233	2020/1/21	C5005               	1599	1621	2020/1/21 12:37	2020/1/21 14:05
234	2020/1/22	C5005               	1599	1621	2020/1/22 12:37	2020/1/22 14:05
235	2020/1/23	C5005               	1599	1621	2020/1/23 12:37	2020/1/23 14:05
236	2020/1/24	C5005               	1599	1621	2020/1/24 12:37	2020/1/24 14:05
237	2020/1/25	C5005               	1599	1621	2020/1/25 12:37	2020/1/25 14:05
238	2020/1/26	C5005               	1599	1621	2020/1/26 12:37	2020/1/26 14:05
239	2020/1/27	C5005               	1599	1621	2020/1/27 12:37	2020/1/27 14:05
240	2020/1/28	C5005               	1599	1621	2020/1/28 12:37	2020/1/28 14:05
241	2020/1/29	C5005               	1599	1621	2020/1/29 12:37	2020/1/29 14:05
242	2020/1/30	C5005               	1599	1621	2020/1/30 12:37	2020/1/30 14:05
243	2020/1/31	C5005               	1599	1621	2020/1/31 12:37	2020/1/31 14:05
244	2020/2/1	C5005               	1599	1621	2020/2/1 12:37	2020/2/1 14:05
245	2020/2/2	C5005               	1599	1621	2020/2/2 12:37	2020/2/2 14:05
246	2020/2/3	C5005               	1599	1621	2020/2/3 12:37	2020/2/3 14:05
247	2020/2/4	C5005               	1599	1621	2020/2/4 12:37	2020/2/4 14:05
248	2020/2/5	C5005               	1599	1621	2020/2/5 12:37	2020/2/5 14:05
249	2020/2/6	C5005               	1599	1621	2020/2/6 12:37	2020/2/6 14:05
250	2020/2/7	C5005               	1599	1621	2020/2/7 12:37	2020/2/7 14:05
251	2020/2/8	C5005               	1599	1621	2020/2/8 12:37	2020/2/8 14:05
252	2020/2/9	C5005               	1599	1621	2020/2/9 12:37	2020/2/9 14:05
253	2020/2/10	C5005               	1599	1621	2020/2/10 12:37	2020/2/10 14:05
254	2020/2/11	C5005               	1599	1621	2020/2/11 12:37	2020/2/11 14:05
255	2020/2/12	C5005               	1599	1621	2020/2/12 12:37	2020/2/12 14:05
256	2020/2/13	C5005               	1599	1621	2020/2/13 12:37	2020/2/13 14:05
257	2020/2/14	C5005               	1599	1621	2020/2/14 12:37	2020/2/14 14:05
258	2020/2/15	C5005               	1599	1621	2020/2/15 12:37	2020/2/15 14:05
259	2020/2/16	C5005               	1599	1621	2020/2/16 12:37	2020/2/16 14:05
260	2020/2/17	C5005               	1599	1621	2020/2/17 12:37	2020/2/17 14:05
261	2020/2/18	C5005               	1599	1621	2020/2/18 12:37	2020/2/18 14:05
262	2020/2/19	C5005               	1599	1621	2020/2/19 12:37	2020/2/19 14:05
263	2020/2/20	C5005               	1599	1621	2020/2/20 12:37	2020/2/20 14:05
264	2020/2/21	C5005               	1599	1621	2020/2/21 12:37	2020/2/21 14:05
265	2020/2/22	C5005               	1599	1621	2020/2/22 12:37	2020/2/22 14:05
266	2020/2/23	C5005               	1599	1621	2020/2/23 12:37	2020/2/23 14:05
267	2020/2/24	C5005               	1599	1621	2020/2/24 12:37	2020/2/24 14:05
268	2020/2/25	C5005               	1599	1621	2020/2/25 12:37	2020/2/25 14:05
269	2020/2/26	C5005               	1599	1621	2020/2/26 12:37	2020/2/26 14:05
270	2020/2/27	C5005               	1599	1621	2020/2/27 12:37	2020/2/27 14:05
271	2020/2/28	C5005               	1599	1621	2020/2/28 12:37	2020/2/28 14:05
272	2020/2/29	C5005               	1599	1621	2020/2/29 12:37	2020/2/29 14:05
273	2020/3/1	C5005               	1599	1621	2020/3/1 12:37	2020/3/1 14:05
274	2019/12/2	C5007               	1599	1621	2019/12/2 15:42	2019/12/2 16:49
275	2019/12/3	C5007               	1599	1621	2019/12/3 15:42	2019/12/3 16:49
276	2019/12/4	C5007               	1599	1621	2019/12/4 15:42	2019/12/4 16:49
277	2019/12/5	C5007               	1599	1621	2019/12/5 15:42	2019/12/5 16:49
278	2019/12/6	C5007               	1599	1621	2019/12/6 15:42	2019/12/6 16:49
279	2019/12/7	C5007               	1599	1621	2019/12/7 15:42	2019/12/7 16:49
280	2019/12/8	C5007               	1599	1621	2019/12/8 15:42	2019/12/8 16:49
281	2019/12/9	C5007               	1599	1621	2019/12/9 15:42	2019/12/9 16:49
282	2019/12/10	C5007               	1599	1621	2019/12/10 15:42	2019/12/10 16:49
283	2019/12/11	C5007               	1599	1621	2019/12/11 15:42	2019/12/11 16:49
284	2019/12/12	C5007               	1599	1621	2019/12/12 15:42	2019/12/12 16:49
285	2019/12/13	C5007               	1599	1621	2019/12/13 15:42	2019/12/13 16:49
286	2019/12/14	C5007               	1599	1621	2019/12/14 15:42	2019/12/14 16:49
287	2019/12/15	C5007               	1599	1621	2019/12/15 15:42	2019/12/15 16:49
288	2019/12/16	C5007               	1599	1621	2019/12/16 15:42	2019/12/16 16:49
289	2019/12/17	C5007               	1599	1621	2019/12/17 15:42	2019/12/17 16:49
290	2019/12/18	C5007               	1599	1621	2019/12/18 15:42	2019/12/18 16:49
291	2019/12/19	C5007               	1599	1621	2019/12/19 15:42	2019/12/19 16:49
292	2019/12/20	C5007               	1599	1621	2019/12/20 15:42	2019/12/20 16:49
293	2019/12/21	C5007               	1599	1621	2019/12/21 15:42	2019/12/21 16:49
294	2019/12/22	C5007               	1599	1621	2019/12/22 15:42	2019/12/22 16:49
295	2019/12/23	C5007               	1599	1621	2019/12/23 15:42	2019/12/23 16:49
296	2019/12/24	C5007               	1599	1621	2019/12/24 15:42	2019/12/24 16:49
297	2019/12/25	C5007               	1599	1621	2019/12/25 15:42	2019/12/25 16:49
298	2019/12/26	C5007               	1599	1621	2019/12/26 15:42	2019/12/26 16:49
299	2019/12/27	C5007               	1599	1621	2019/12/27 15:42	2019/12/27 16:49
300	2019/12/28	C5007               	1599	1621	2019/12/28 15:42	2019/12/28 16:49
301	2019/12/29	C5007               	1599	1621	2019/12/29 15:42	2019/12/29 16:49
302	2019/12/30	C5007               	1599	1621	2019/12/30 15:42	2019/12/30 16:49
303	2019/12/31	C5007               	1599	1621	2019/12/31 15:42	2019/12/31 16:49
304	2020/1/1	C5007               	1599	1621	2020/1/1 15:42	2020/1/1 16:49
305	2020/1/2	C5007               	1599	1621	2020/1/2 15:42	2020/1/2 16:49
306	2020/1/3	C5007               	1599	1621	2020/1/3 15:42	2020/1/3 16:49
307	2020/1/4	C5007               	1599	1621	2020/1/4 15:42	2020/1/4 16:49
308	2020/1/5	C5007               	1599	1621	2020/1/5 15:42	2020/1/5 16:49
309	2020/1/6	C5007               	1599	1621	2020/1/6 15:42	2020/1/6 16:49
310	2020/1/7	C5007               	1599	1621	2020/1/7 15:42	2020/1/7 16:49
311	2020/1/8	C5007               	1599	1621	2020/1/8 15:42	2020/1/8 16:49
312	2020/1/9	C5007               	1599	1621	2020/1/9 15:42	2020/1/9 16:49
313	2020/1/10	C5007               	1599	1621	2020/1/10 15:42	2020/1/10 16:49
314	2020/1/11	C5007               	1599	1621	2020/1/11 15:42	2020/1/11 16:49
315	2020/1/12	C5007               	1599	1621	2020/1/12 15:42	2020/1/12 16:49
316	2020/1/13	C5007               	1599	1621	2020/1/13 15:42	2020/1/13 16:49
317	2020/1/14	C5007               	1599	1621	2020/1/14 15:42	2020/1/14 16:49
318	2020/1/15	C5007               	1599	1621	2020/1/15 15:42	2020/1/15 16:49
319	2020/1/16	C5007               	1599	1621	2020/1/16 15:42	2020/1/16 16:49
320	2020/1/17	C5007               	1599	1621	2020/1/17 15:42	2020/1/17 16:49
321	2020/1/18	C5007               	1599	1621	2020/1/18 15:42	2020/1/18 16:49
322	2020/1/19	C5007               	1599	1621	2020/1/19 15:42	2020/1/19 16:49
323	2020/1/20	C5007               	1599	1621	2020/1/20 15:42	2020/1/20 16:49
324	2020/1/21	C5007               	1599	1621	2020/1/21 15:42	2020/1/21 16:49
325	2020/1/22	C5007               	1599	1621	2020/1/22 15:42	2020/1/22 16:49
326	2020/1/23	C5007               	1599	1621	2020/1/23 15:42	2020/1/23 16:49
327	2020/1/24	C5007               	1599	1621	2020/1/24 15:42	2020/1/24 16:49
328	2020/1/25	C5007               	1599	1621	2020/1/25 15:42	2020/1/25 16:49
329	2020/1/26	C5007               	1599	1621	2020/1/26 15:42	2020/1/26 16:49
330	2020/1/27	C5007               	1599	1621	2020/1/27 15:42	2020/1/27 16:49
331	2020/1/28	C5007               	1599	1621	2020/1/28 15:42	2020/1/28 16:49
332	2020/1/29	C5007               	1599	1621	2020/1/29 15:42	2020/1/29 16:49
